0x000,R,H,E,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x001,R,L,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x002,R,H,H,I,H,H,0x000,JMAP,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x003,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x004,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x005,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x006,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x007,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x008,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x009,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x00A,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x00B,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x00C,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x00D,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x00E,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x00F,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
0x010,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,RAMA,ADD,AB,0x0000,K,0x0,DIS
0x011,R,H,H,H,H,H,0x000,CONT,PS,Load_Load_I_Z,H,H,0x0,CI0,H,H,IR,0x0,IR,0x0,NOP,ADD,AB,0x0000,K,0x0,DIS
